event_id,home_team,away_team,match_date,score,period,stat_key,home_value,away_value,home_total,away_total
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,passes,195.0,252.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,totalTackle,6.0,9.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,freeKicks,5.0,4.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,yellowCards,1.0,1.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,shotsOnGoal,0.0,1.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,hitWoodwork,0.0,0.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,shotsOffGoal,2.0,2.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,blockedScoringAttempt,0.0,2.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,totalShotsInsideBox,0.0,2.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,totalShotsOutsideBox,2.0,3.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,bigChanceScored,0.0,1.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,bigChanceMissed,0.0,1.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,accurateThroughBall,0.0,0.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,fouledFinalThird,1.0,3.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,offsides,3.0,1.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,accuratePasses,163.0,216.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,throwIns,9.0,9.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,finalThirdEntries,24.0,17.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,accurateLongBalls,12.0,6.0,21.0,22.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,accurateCross,2.0,1.0,11.0,6.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,duelWonPercent,48.0,52.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,dispossessed,3.0,5.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,groundDuelsPercentage,17.0,14.0,31.0,31.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,aerialDuelsPercentage,3.0,8.0,11.0,11.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,dribblesPercentage,6.0,0.0,12.0,1.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,wonTacklePercent,3.0,4.0,6.0,9.0
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,interceptionWon,4.0,1.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,ballRecovery,24.0,21.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,totalClearance,8.0,10.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,1ST,goalKicks,3.0,4.0,,
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,2ND,ballPossession,53.0,47.0,,
