event_id,home_team,away_team,match_date,score,player_id,player_name,position,shirt_number,is_substitute,is_home,formation,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_cross,accurate_cross,accurate_own_half_passes,total_own_half_passes,accurate_opposition_half_passes,total_opposition_half_passes,key_pass,goal_assist,expected_assists,total_shots,shot_off_target,on_target_scoring_attempt,blocked_scoring_attempt,goals,big_chance_created,big_chance_missed,expected_goals,expected_goals_on_target,total_contest,won_contest,dispossessed,unsuccessful_touch,duel_won,duel_lost,aerial_won,aerial_lost,challenge_lost,total_tackle,won_tackle,total_clearance,outfielder_block,interception_won,ball_recovery,clearance_off_line,last_man_tackle,error_lead_to_a_shot,error_lead_to_a_goal,fouls,was_fouled,total_offside,saves,saved_shots_from_inside_the_box,good_high_claim,punches,goals_prevented,keeper_save_value,top_speed,kilometers_covered,number_of_sprints,meters_covered_running_km,meters_covered_high_speed_running_km,meters_covered_sprinting_km,total_ball_carries_distance,ball_carries_count,total_progression,best_ball_carry_progression,total_progressive_ball_carries_distance,progressive_ball_carries_count,touches,minutes_played,possession_lost_ctrl,rating,rating_original,rating_alternative,shot_value_normalized,pass_value_normalized,dribble_value_normalized,defensive_value_normalized,goalkeeper_value_normalized,raw
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,827606,Rodri,M,16,False,False,4-2-3-1,67,58,6,1,0,0,38,41,20,26,0,0,0.0256195,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,11,5,4,0,1,4,1,2,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0.0,0.0,30.05,11.74,11,2.0,0.63,0.13,128.89607331196,15,28.595032123098,0.0,0.0,0,82,90,10,7.5,7.5,7.0,0.0,0.06,0.06,0.38,0.0,"{'totalPass': 67, 'accuratePass': 58, 'totalLongBalls': 6, 'accurateLongBalls': 1, 'goalAssist': 0, 'accurateOwnHalfPasses': 38, 'totalOwnHalfPasses': 41, 'accurateOppositionHalfPasses': 20, 'totalOppositionHalfPasses': 26, 'aerialWon': 4, 'duelLost': 5, 'duelWon': 11, 'challengeLost': 1, 'totalClearance': 2, 'ballRecovery': 2, 'totalTackle': 4, 'wonTackle': 1, 'unsuccessfulTouch': 1, 'wasFouled': 3, 'fouls': 4, 'minutesPlayed': 90, 'touches': 82, 'rating': 7.5, 'possessionLostCtrl': 10, 'expectedAssists': 0.0256195, 'topSpeed': 30.05, 'kilometersCovered': 11.74, 'numberOfSprints': 11, 'totalBallCarriesDistance': 128.89607331196, 'ballCarriesCount': 15, 'totalProgression': 28.595032123098, 'progressiveBallCarriesCount': 0, 'ratingVersions': {'original': 7.5, 'alternative': 7}, 'totalShots': 0, 'passValueNormalized': 0.06, 'dribbleValueNormalized': 0.06, 'defensiveValueNormalized': 0.38, 'metersCoveredRunningKm': 2, 'metersCoveredHighSpeedRunningKm': 0.63, 'metersCoveredSprintingKm': 0.13, 'statisticsType': {'sportSlug': 'football', 'statisticsType': 'player'}}"
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,784655,Fabián Ruiz,M,8,False,False,4-2-3-1,66,56,8,2,2,1,32,36,24,30,2,0,0.0233059,1,0,0,1,0,0,1,0.1165,0.0,0,0,0,0,5,2,0,0,1,4,2,1,0,2,7,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,26.84,8.89,1,1.33,0.24,0.02,163.57047425883,22,71.123298258328,0.0,0.0,0,83,78,11,6.9,6.9,6.9,-0.44,-0.03,0.24,0.0,0.0,"{'totalPass': 66, 'accuratePass': 56, 'totalLongBalls': 8, 'accurateLongBalls': 2, 'goalAssist': 0, 'accurateOwnHalfPasses': 32, 'totalOwnHalfPasses': 36, 'accurateOppositionHalfPasses': 24, 'totalOppositionHalfPasses': 30, 'totalCross': 2, 'accurateCross': 1, 'duelLost': 2, 'duelWon': 5, 'challengeLost': 1, 'bigChanceMissed': 1, 'blockedScoringAttempt': 1, 'totalClearance': 1, 'interceptionWon': 2, 'ballRecovery': 7, 'totalTackle': 4, 'wonTackle': 2, 'wasFouled': 1, 'fouls': 1, 'minutesPlayed': 78, 'touches': 83, 'rating': 6.9, 'possessionLostCtrl': 11, 'expectedGoals': 0.1165, 'expectedAssists': 0.0233059, 'topSpeed': 26.84, 'kilometersCovered': 8.89, 'numberOfSprints': 1, 'totalBallCarriesDistance': 163.57047425883, 'ballCarriesCount': 22, 'totalProgression': 71.123298258328, 'progressiveBallCarriesCount': 0, 'keyPass': 2, 'ratingVersions': {'original': 6.9, 'alternative': 6.9}, 'totalShots': 1, 'shotValueNormalized': -0.44, 'passValueNormalized': -0.03, 'dribbleValueNormalized': 0.24, 'defensiveValueNormalized': 0, 'metersCoveredRunningKm': 1.33, 'metersCoveredHighSpeedRunningKm': 0.24, 'metersCoveredSprintingKm': 0.02, 'statisticsType': {'sportSlug': 'football', 'statisticsType': 'player'}}"
12813008,France,Spain,2026-07-14T19:00:00+00:00,0-2,789071,Dani Olmo,M,10,False,False,4-2-3-1,30,29,0,0,0,0,13,13,16,17,2,1,0.0940538,1,1,0,0,0,1,0,0.0144,0.0,2,0,3,1,3,7,0,1,0,1,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0.0,0.0,28.01,9.11,8,1.71,0.46,0.06,194.89797487626,19,98.364317482183,18.94154221504,61.379797275906,3,45,78,8,6.8,6.8,7.0,-0.11,0.27,0.27,0.0,0.0,"{'totalPass': 30, 'accuratePass': 29, 'goalAssist': 1, 'accurateOwnHalfPasses': 13, 'totalOwnHalfPasses': 13, 'accurateOppositionHalfPasses': 16, 'totalOppositionHalfPasses': 17, 'aerialLost': 1, 'duelLost': 7, 'duelWon': 3, 'dispossessed': 3, 'totalContest': 2, 'bigChanceCreated': 1, 'shotOffTarget': 1, 'ballRecovery': 4, 'totalTackle': 1, 'unsuccessfulTouch': 1, 'wasFouled': 2, 'fouls': 1, 'minutesPlayed': 78, 'touches': 45, 'rating': 6.8, 'possessionLostCtrl': 8, 'expectedGoals': 0.0144, 'expectedAssists': 0.0940538, 'topSpeed': 28.01, 'kilometersCovered': 9.11, 'numberOfSprints': 8, 'totalBallCarriesDistance': 194.89797487626, 'ballCarriesCount': 19, 'totalProgression': 98.364317482183, 'bestBallCarryProgression': 18.94154221504, 'totalProgressiveBallCarriesDistance': 61.379797275906, 'progressiveBallCarriesCount': 3, 'keyPass': 2, 'ratingVersions': {'original': 6.8, 'alternative': 7}, 'totalShots': 1, 'shotValueNormalized': -0.11, 'passValueNormalized': 0.27, 'dribbleValueNormalized': 0.27, 'defensiveValueNormalized': 0, 'metersCoveredRunningKm': 1.71, 'metersCoveredHighSpeedRunningKm': 0.46, 'metersCoveredSprintingKm': 0.06, 'statisticsType': {'sportSlug': 'football', 'statisticsType': 'player'}}"
